; Z80 Instruction table
;
; v0.01 Chris Cowley
;
; Operation{TAB}Operand{TAB}Number of parameter bytes{TAB}Assembled Hex
;
; Blank lines and lines beginning with ';' are ignored
;
; All direct opcodes done 
; All CBxx opcodes done
; All EDxx opcodes done
; All DDxx opcodes done  (except undocumented "SET 0,(IX+d)->B" types)
; All FDxx opcodes done  (except undocumented "SET 0,(IX+d)->B" types)


NOP		0	00
LD	(BC),A	0	02
INC	BC	0	03
INC	B	0	04
DEC	B	0	05
RLCA		0	07
EX	AF,AF'	0	08
ADD	HL,BC	0	09
LD	A,(BC)	0	0A
DEC	BC	0	0B
INC	C	0	0C
DEC	C	0	0D
RRCA		0	0F
LD	(DE),A	0	12
INC	DE	0	13
INC	D	0	14
DEC	D	0	15
RLA		0	17
ADD	HL,DE	0	19
LD	A,(DE)	0	1A
DEC	DE	0	1B
INC	E	0	1C
DEC	E	0	1D
RRA		0	1F
INC	HL	0	23
INC	H	0	24
DEC	H	0	25
DAA		0	27
ADD	HL,HL	0	29
DEC	HL	0	2B
INC	L	0	2C
DEC	L	0	2D
CPL		0	2F
INC	SP	0	33
INC	(HL)	0	34
DEC	(HL)	0	35
SCF		0	37
ADD	HL,SP	0	39
DEC	SP	0	3B
INC	A	0	3C
DEC	A	0	3D
CCF		0	3F
LD	B,B	0	40
LD	B,C	0	41
LD	B,D	0	42
LD	B,E	0	43
LD	B,H	0	44
LD	B,L	0	45
LD	B,(HL)	0	46
LD	B,A	0	47
LD	C,B	0	48
LD	C,C	0	49
LD	C,D	0	4A
LD	C,E	0	4B
LD	C,H	0	4C
LD	C,L	0	4D
LD	C,(HL)	0	4E
LD	C,A	0	4F
LD	D,B	0	50
LD	D,C	0	51
LD	D,D	0 	52
LD	D,E	0	53
LD	D,H	0	54
LD	D,L	0	55
LD	D,(HL)	0	56
LD	D,A	0	57
LD	E,B	0	58
LD	E,C	0	59
LD	E,D	0	5A
LD	E,E	0	5B
LD	E,H	0	5C
LD	E,L	0	5D
LD	E,(HL)	0	5E
LD	E,A	0	5F
LD	H,B	0	60
LD	H,C	0	61
LD	H,D	0	62
LD	H,E	0	63
LD	H,H	0	64
LD	H,L	0	65
LD	H,(HL)	0	66
LD	H,A	0	67
LD	L,B	0	68
LD	L,C	0	69
LD	L,D	0	6A
